Run,Time,Accuracy
1,4.461736261,0.8969193441658702
2,4.32227629,0.8969193441658702
3,4.38484413,0.8969193441658702
4,3.902151024,0.8969193441658702
5,3.804746574,0.8969193441658702
6,3.69778357,0.8969193441658702
7,3.662263181,0.8969193441658702
8,3.592903563,0.8969193441658702
9,3.762782106,0.8969193441658702
10,3.233699713,0.8969193441658702
11,3.518953409,0.8969193441658702
12,3.229328686,0.8969193441658702
13,3.763383806,0.8969193441658702
14,3.475198642,0.8969193441658702
15,3.258381904,0.8969193441658702
16,3.393456216,0.8969193441658702
17,3.059554037,0.8969193441658702
18,3.403656948,0.8969193441658702
19,3.559249677,0.8969193441658702
20,3.741472871,0.8969193441658702
21,3.750732545,0.8969193441658702
22,3.768550912,0.8969193441658702
23,3.171730809,0.8969193441658702
24,3.236396645,0.8969193441658702
25,3.790568601,0.8969193441658702
26,3.002537463,0.8969193441658702
27,3.682576142,0.8969193441658702
28,3.358467583,0.8969193441658702
29,3.299010234,0.8969193441658702
30,3.595702941,0.8969193441658702
