Run,Time,Accuracy
1,6.305477854,0.8970663921770458
2,4.362411816,0.8970663921770458
3,4.308563716,0.8970663921770458
4,4.2759796,0.8970663921770458
5,4.206137684,0.8970663921770458
6,4.238636268,0.8970663921770458
7,4.224920584,0.8970663921770458
8,4.259142318,0.8970663921770458
9,4.247256286,0.8970663921770458
10,4.193159876,0.8970663921770458
11,4.22129888,0.8970663921770458
12,4.2100709,0.8970663921770458
13,4.219310662,0.8970663921770458
14,4.283127244,0.8970663921770458
15,4.200824302,0.8970663921770458
16,4.20689372,0.8970663921770458
17,4.190482727,0.8970663921770458
18,4.389035438,0.8970663921770458
19,4.354223898,0.8970663921770458
20,4.24023083,0.8970663921770458
21,4.255412787,0.8970663921770458
22,4.199354096,0.8970663921770458
23,4.23326336,0.8970663921770458
24,4.220272015,0.8970663921770458
25,4.321458093,0.8970663921770458
26,4.205819875,0.8970663921770458
27,4.203872886,0.8970663921770458
28,4.238963744,0.8970663921770458
29,4.173685278,0.8970663921770458
30,4.210780236,0.8970663921770458
