Run,Time,Accuracy
1,20.036277884,0.8799352988750827
2,17.156287689,0.8799352988750827
3,14.686840475,0.8799352988750827
4,15.190493177,0.8799352988750827
5,14.682328305,0.8799352988750827
6,14.7707062,0.8799352988750827
7,14.300660538,0.8799352988750827
8,14.355820953,0.8799352988750827
9,14.252668309,0.8799352988750827
10,13.967850042,0.8799352988750827
11,15.248203594,0.8799352988750827
12,14.108673301,0.8799352988750827
13,14.454467422,0.8799352988750827
14,14.566747206,0.8799352988750827
15,14.104151194,0.8799352988750827
16,14.604460936,0.8799352988750827
17,14.502944207,0.8799352988750827
18,14.735061529,0.8799352988750827
19,14.326636569,0.8799352988750827
20,14.753015318,0.8799352988750827
21,13.861971906,0.8799352988750827
22,14.320377001,0.8799352988750827
23,14.506189626,0.8799352988750827
24,14.239241971,0.8799352988750827
25,14.309972038,0.8799352988750827
26,14.787264059,0.8799352988750827
27,14.487095807,0.8799352988750827
28,14.196709008,0.8799352988750827
29,14.426147743,0.8799352988750827
30,14.496525233,0.8799352988750827
